OBJECTID,WARDNAME,WardCode,SHAPE_Length,SHAPE_Area
410,ENLER,N08000716,3740.78037969055,621097.153626457
411,BALLYHANWOOD,N08000702,18822.3001031457,11396329.9512411
412,KNOCKBRACKEN,N08000724,10954.9785282969,3529138.12748402
413,MONEYREAGH,N08000734,26287.1686458718,25088059.7143766
414,KNOCKNASHINNA,N08001027,12407.3645028895,5208713.87472631
415,SKEOGE,N08000535,13055.9867081554,6148551.24838099
416,SPRINGTOWN,N08000537,6676.8887147156,1651134.77866249
417,SHANTALLOW EAST,N08000532,6976.28872677936,1768418.67740092
418,CULMORE,N08000513,21014.1370508444,8816492.53276366
419,STRABANE WEST,N08000539,5835.52368427408,1307939.09240239
420,AHOGHILL,N08000802,14795.748842523,6930113.45387757
421,HIGHTOWN,N08000123,5274.24775516808,896040.690014645
422,CLADY,N08000113,53268.3382746416,71447167.5003234
423,CAVEHILL,N08000314,9335.45763073472,3123412.76292228
424,POLEGLASS,N08000343,10661.0228847647,3010014.63718495
425,TERMON,N08000639,57756.8756539821,84422407.2614893
426,GORTIN,N08000622,54612.9945887708,90735256.4383188
427,FAIRY WATER,N08000619,64983.7804376851,110499718.005498
428,BELLEEK and BOA,N08000603,115225.288446792,195903941.268303
429,DRUMQUIN,N08000616,90385.8196119582,158306607.133582
430,COALISLAND NORTH,N08000912,22615.4088983862,12830209.5800365
431,SIXMILECROSS,N08000636,63868.2501902488,92768044.0704816
432,NEWTOWNSAVILLE,N08000631,67803.1041076225,81763180.2213413
433,FINTONA,N08000620,50068.61000859,61108727.7458772
434,TEMPO,N08000638,59714.1457274444,90487055.6946016
435,BROOKEBOROUGH,N08000606,77967.4285742922,123502727.824992
